Ticker,Name,Sector,Region,P/E Ratio,P/B Ratio,P/S Ratio,Revenue Growth (%),Earnings Growth (%),Profit Margin (%),Free Cash Flow,Div_2025,Momentum 6M (%),Momentum 12M (%),Value Score,Growth Score,Momentum Score,Overall AI Score
C,"Citigroup, Inc.",Finance,US,15.67,1.0,2.53,4.4,-10.8,18.89,0.0,2.32,7.86,56.11,2,4,2,3
AXP,American Express Company,Finance,US,19.23,6.06,3.04,10.6,16.6,16.17,0.0,3.28,-12.96,10.4,4,3,4,3
GS,"Goldman Sachs Group, Inc. (The)",Finance,US,15.85,2.28,4.11,15.2,17.3,28.92,0.0,14.0,2.1,46.93,4,3,2,3
FME.DE,Fresenius Medical Care AG     I,Healthcare,Germany,11.23,0.79,0.56,-0.3,420.0,4.99,1556436608.0,1.49,-12.76,-14.64,1,2,5,3
MRK.DE,MERCK KGAA                    I,Healthcare,Germany,15.3,1.58,2.14,-3.1,-52.2,12.36,2629499904.0,2.2,-3.88,-19.85,2,4,4,3
SIE.DE,SIEMENS AG                    N,Healthcare,Germany,20.29,2.43,2.0,4.3,-44.6,9.97,7742624768.0,5.35,-8.9,-11.25,2,3,4,3
4543.T,TERUMO CORP,Healthcare,Japan,23.04,1.98,2.75,12.6,-7.6,11.68,72308752384.0,28.0,-20.79,-26.04,3,3,5,3
4523.T,EISAI CO LTD,Healthcare,Japan,27.25,1.51,1.66,1.8,-27.7,5.29,18941624320.0,160.0,-6.0,13.42,2,4,3,3
4519.T,CHUGAI PHARMACEUTICAL CO,Healthcare,Japan,32.79,7.03,11.32,14.3,40.2,34.5,259492757504.0,122.0,32.21,32.89,4,2,2,3
MUV2.DE,MUENCHENER RUECKVERS.-GES. AG N,Finance,Germany,10.88,2.0,1.1,3.0,-10.4,9.82,6033999872.0,24.0,-0.08,-6.41,2,3,4,3
ALV.DE,Allianz SE                    v,Finance,Germany,12.56,2.11,1.17,-5.6,9.5,9.52,5215499776.0,17.1,0.03,2.51,2,3,3,3
BK,The Bank of New York Mellon Cor,Finance,US,15.53,2.0,4.01,7.8,30.5,27.74,0.0,2.0,6.72,40.47,4,3,2,3
COF,Capital One Financial Corporati,Finance,US,54.01,1.05,3.44,51.6,22.2,7.48,0.0,2.6,-19.92,5.21,3,2,4,3
MS,Morgan Stanley,Finance,US,15.83,2.51,3.65,11.0,20.7,23.99,0.0,3.92,2.15,38.01,4,3,2,3
WFC,Wells Fargo & Company,Finance,US,12.4,1.46,3.04,5.0,13.1,26.66,0.0,1.7,-7.38,9.33,3,3,4,3
BAC,Bank of America Corporation,Finance,US,12.38,1.23,3.21,7.2,21.2,28.4,0.0,1.08,-8.76,13.54,2,3,3,3
